Country,Images
Zambia,https://i.ytimg.com/vi/e5-Fh1sgxyE/hq720.jpg?sqp=-oaymwEhCK4FEIIDSFryq4qpAxMIARUAAAAAGAElAADIQj0AgKJD&rs=AOn4CLC8GBMdvjW0Q5H759flbIPrK9qvjw
India,https://www.telegraph.co.uk/content/dam/Travel/partnerTourImages/NewmarketHolidays/IndiaapossGoldenTriangleBombayandVaranasi/RESTRICTED-leadAsset-IndiaapossGoldenTriangleBombayandVaranasi.png?imwidth=640
Russia,https://career-advice.jobs.ac.uk/wp-content/uploads/Russia-e1634207469419.jpg.optimal.jpg
Australia,https://www.fodors.com/wp-content/uploads/2019/07/UltimateSydney__HERO_iStock-646880230.jpg
UK,https://th.bing.com/th/id/R.4d00eb5258f22ccc4540064da83c3150?rik=xrvgXJbw7Cj5hQ&riu=http%3a%2f%2fwww.studyandgoabroad.com%2fwp-content%2fuploads%2f2015%2f07%2fuk06.jpg&ehk=2gcJZ%2bc4bkI%2byvSfnP0L%2bDDuzwx3DoE4J%2flPbk5kFBo%3d&risl=&pid=ImgRaw&r=0
USA,https://www.nationsencyclopedia.com/photos/united-states-of-america-1087.jpg
China,https://thriftynomads.com/wp-content/uploads/2017/03/china.jpg
Japan,https://cdn.sanity.io/images/g1i9e5jz/admin-ui-prod/fc9312fd16b8d545a71d8d12f4a3243c6d993f4f-5774x3849.jpg?w=1200&auto=format
Austria,https://cdn.audleytravel.com/5237/3740/79/15988493-hallstatt-perched-on-lake-hallstatt.jpg
UAE,https://damacdubai.properties/wp-content/uploads/2025/03/damac-properties-banner.webp
Uganda,https://sheiswanderlust.com/wp-content/uploads/2020/05/Uganda-landscape.jpg
Iraq,https://iraqtravelandtours.com/wp-content/uploads/Erbil-Irq.jpg
